t, real_GRF, FOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.000000, 0.000000, 7652.167491, 0.501898, 0.433013, 1.570796, 1.047197, 3108.394705, 2896.705215, 731962.727034, 797942.056270
0.001500, -43.910700, -11024.239481, 0.203601, 0.433224, 1.570796, 1.046340, 58.500827, 801.405949, -112627.095628, -123334.728519
0.003000, 40.961133, 4684.831703, 0.508883, 0.432740, 1.570796, 1.048760, 3411.253025, 3151.641326, -50108.730554, -51485.028162
0.004500, 32.684130, -1226.353855, 0.194242, 0.430529, 1.570796, 1.061829, 3766.695922, 4357.899446, -11371.384573, -7469.429764
0.006000, 27.899492, -375.339007, 0.405366, 0.426883, 1.570796, 1.084084, 4052.424145, 4050.358142, -1095.852501, 3348.442929
0.007500, 25.835335, 577.768341, 0.363492, 0.422001, 1.570796, 1.114294, 3845.364671, 3817.756379, 1084.518237, 4914.054606
0.009000, 26.049205, -275.354344, 0.336853, 0.416027, 1.570796, 1.151458, 3560.492890, 3541.749414, 1470.809348, 4581.801932
0.010500, 28.523935, -48.759690, 0.354018, 0.409067, 1.570796, 1.194802, 3312.798070, 3171.189063, 1519.614021, 4010.538004
0.012000, 33.010632, -83.133112, 0.340657, 0.401212, 1.570796, 1.243765, 2998.142789, 2822.254961, 1533.493085, 3514.466867
0.013500, 38.996657, -187.777241, 0.337467, 0.392537, 1.570796, 1.297959, 2671.361348, 2441.447421, 1563.832281, 3127.629861
0.015000, 45.770077, -181.793188, 0.335667, 0.383112, 1.570796, 1.357110, 2325.918629, 2035.097920, 1605.421275, 2829.318614
0.016500, 52.497739, -222.666764, 0.331376, 0.373000, 1.570796, 1.421002, 1954.731534, 1610.940361, 1640.362318, 2591.031141
0.018000, 58.708007, -255.197629, 0.328738, 0.362255, 1.570796, 1.489426, 1566.567923, 1162.442692, 1651.626000, 2388.061397
0.019500, 63.906836, -280.269911, 0.325873, 0.350923, 1.570796, 1.562157, 1161.264569, 693.356692, 1632.538257, 2205.096140
0.021000, 67.887760, -310.775761, 0.322899, 0.339043, 1.570796, 1.638944, 741.605046, 205.458769, 1581.809656, 2033.038693
0.022500, -123.904502, -332.777884, 0.320452, 0.327112, 1.570796, 1.718430, 317.973037, -284.328790, 1622.330934, -136.100351
