t, real_GRF, FOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.000000, 0.000000, 7652.167491, 0.501898, 0.433013, 1.570796, 1.047197, 3108.394705, 2896.705215, 731962.727034, 797942.056270
0.001500, -39.162603, -11025.485658, 0.203520, 0.433223, 1.570796, 1.046324, 58.449247, 801.638210, -112669.612523, -123360.871566
0.003000, 46.742547, 4686.305769, 0.509015, 0.432743, 1.570796, 1.048808, 3411.023347, 3150.955458, -50026.708653, -51434.269337
0.004500, 39.495341, -1222.271136, 0.194636, 0.430554, 1.570796, 1.062299, 3760.629805, 4351.525024, -11208.408793, -7359.343622
0.006000, 36.243631, -370.866682, 0.405681, 0.426948, 1.570796, 1.085354, 4037.031935, 4034.897872, -905.738491, 3485.428403
0.007500, 35.790177, 581.355942, 0.363976, 0.422123, 1.570796, 1.116770, 3817.505204, 3790.766787, 1288.323329, 5067.180990
0.009000, 37.278878, -267.926930, 0.337523, 0.416225, 1.570796, 1.155558, 3517.494211, 3500.875374, 1677.897108, 4741.679435
0.010500, 40.401999, -41.923494, 0.354670, 0.409360, 1.570796, 1.200922, 3253.073912, 3114.122887, 1713.027105, 4163.752220
0.012000, 44.836078, -75.758190, 0.341431, 0.401616, 1.570796, 1.252236, 2920.602042, 2748.027311, 1694.248927, 3646.530817
0.013500, 50.202324, -179.669923, 0.338253, 0.393065, 1.570796, 1.309018, 2576.271222, 2349.824538, 1677.323332, 3227.165160
0.015000, 56.049339, -174.229484, 0.336429, 0.383773, 1.570796, 1.370889, 2214.512397, 1926.740945, 1665.746466, 2890.870993
0.016500, 61.897741, -215.161238, 0.332134, 0.373795, 1.570796, 1.437533, 1828.789173, 1487.238105, 1651.466509, 2615.770346
0.018000, 67.257760, -247.832969, 0.329472, 0.363183, 1.570796, 1.508664, 1428.180835, 1025.004454, 1624.873400, 2382.324726
0.019500, 71.973302, -273.029746, 0.326599, 0.351982, 1.570796, 1.584006, 1012.463431, 543.888596, 1581.688080, 2177.247304
0.021000, 54.890103, -303.416048, 0.323632, 0.340231, 1.570796, 1.663282, 584.164919, 45.551709, 1521.608635, 1988.562725
0.022500, -56.266027, -317.944850, 0.322015, 0.329397, 1.570796, 1.742397, 171.926639, -409.698281, 1205.223423, -3308.635660
0.024000, -55.130520, -292.019172, 0.323643, 0.323106, 1.570796, 1.804248, -65.043329, -549.763807, -1944.343202, -11362.189751
0.025500, -47.093915, -222.209885, 0.330410, 0.320900, 1.570796, 1.846996, -132.816148, -475.210274, -3254.897960, -12458.070733
0.027000, -36.867091, -146.405568, 0.337972, 0.321955, 1.570796, 1.873160, -115.504866, -317.680929, -3485.184407, -11136.760252
0.028500, -26.361374, -77.945315, 0.344925, 0.325559, 1.570796, 1.884996, -46.396497, -120.034837, -3374.275281, -9452.464983
0.030000, 53.670731, -19.523163, 0.350938, 0.330006, 1.570796, 1.888247, 37.485927, 47.509347, -2417.090281, -3696.481342
0.031500, 15.037078, -7.673584, 0.353043, 0.332446, 1.570796, 1.897787, 1.171438, -19.318092, 30.476295, 3137.505987
0.033000, -33.873207, -34.997865, 0.350278, 0.334691, 1.570796, 1.905970, -56.941653, -90.705591, -1309.400930, -1537.573679
0.034500, 28.438767, -21.935846, 0.351071, 0.338049, 1.570796, 1.904806, -7.883048, 2.592776, -2312.082027, -3647.871293
0.036000, 31.079058, -0.642793, 0.353423, 0.340466, 1.570796, 1.904298, 25.501583, 30.047876, -553.912193, 1529.843066
0.037500, -12.759562, -16.991900, 0.352223, 0.341784, 1.570796, 1.908191, -19.911454, -52.241868, -27.915976, 1556.844232
0.039000, -1.197062, -26.523125, 0.350885, 0.343697, 1.570796, 1.906930, -12.703997, -30.625251, -1422.224574, -2313.160587
0.040500, 19.652876, -8.390218, 0.352525, 0.345598, 1.570796, 1.903034, 30.971339, 25.352195, -724.831152, -167.003331
